METADATO;DESCRIPCION
Serie de tiempo desde;2003
Definición del indicador;El IPM adoptado para Colombia es un índice integrado que permite analizar múltiples dimensiones de la pobreza que son experimentadas simultáneamente por los hogares 
Utilidad;El IPM adoptado para Colombia es un índice integrado que permite analizar múltiples dimensiones de la pobreza que son experimentadas simultáneamente por los hogares (unidad de análisis para este fin). Este índice se compone de 5 dimensiones, que agrupan 15 indicadores, cada indicador a su vez tiene un punto de corte definido para el cual un hogar es considerado en privación. Además, para el caso de esta medición en Colombia se utiliza una estructura de ponderación anidada, en la que cada dimensión tiene el mismo peso (20%) en el índice y cada indicador tiene el mismo peso al interior de cada dimensión (DANE).
Unidad de medición;Porcentaje
Periodicidad;Anual
Fuente de Información ;"• DANE - Anexo departamental de pobreza multidimensional 2018-2021. Disponible en: https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-multidimensional • DANE y SDP - Encuesta Multipropósito 2011,2014, 2017, 2021. Cálculos: SDP-Dirección de Estudios Macro.
"
Año;Periodo de reporte del indicador
Localidad;Área geográfica en la que  se realizó la medición
Indicador;Nombre del indicador que se mide
Categoría;Aplica para la medicion de privaciones y dimensiones medidas en IPM
Sexo;Categoría de desagregación del cálculo
Valor;Dato calculado del indicador
